Species,Elev,A_CO,A_FR,A_SJ,BC_CO,BC_FR,BC_SJ,D_CO,D_FR,D_SJ 
Tumb,3500,4,0,0,0,0,0,0,0,0
Tumb,3600,9,0,0,0,0,0,0,0,0
Tumb,3700,0,0,0,0,0,0,0,0,0
Tumb,3800,0,0,0,0,0,0,0,0,0
Tumb,3900,0,0,0,0,0,0,0,0,0
Tumb,4000,0,0,0,0,0,0,0,0,0
Tumb,4100,0,0,0,0,0,0,0,0,0
Tumb,4200,0,0,0,0,0,0,0,0,0
Uele,1000,0,0,0,0,0,0,0,0,0
Uele,1100,0,0,0,0,0,0,0,0,0
Uele,1200,0,0,0,0,0,0,0,0,0
Uele,1300,0,0,0,0,0,0,0,0,0
Uele,1400,0,0,0,0,0,0,0,0,0
Uele,1500,0,0,0,0,0,0,0,0,0
Uele,1600,2,0,0,1,0,0,0,0,0
Uele,1700,0,2,0,2,0,0,0,0,0
Uele,1800,0,0,0,1,0,0,0,0,0
Uele,1900,0,0,0,0,0,0,0,0,0
Uele,2000,13,0,0,0,0,0,0,0,0
Uele,2100,2,3,0,1,0,0,0,0,0
Uele,2200,2,0,0,2,0,0,0,0,0
Uele,2300,7,2,0,0,1,0,0,5,0
Uele,2400,16,17,0,28,0,0,1,4,0
Uele,2500,20,23,0,0,0,0,5,0,0
Uele,2600,18,5,0,3,0,0,0,0,0
Uele,2700,7,0,0,23,0,0,24,0,0
Uele,2800,30,0,0,2,0,0,4,0,0
Uele,2900,15,0,0,0,0,0,5,0,0
Uele,3000,2,0,0,4,0,0,1,0,0
Uele,3100,8,0,0,0,0,0,0,0,0
Uele,3200,0,0,0,0,0,0,0,0,0
Uele,3300,1,0,0,0,0,0,0,0,0
Uele,3400,0,0,0,0,0,0,0,0,0
Uele,3500,0,0,0,0,0,0,0,0,0
Uele,3600,1,0,0,0,0,0,0,0,0
Uele,3700,0,0,0,0,0,0,0,0,0
Uele,3800,0,0,0,0,0,0,0,0,0
Uele,3900,0,0,0,0,0,0,0,0,0
Uele,4000,0,0,0,0,0,0,0,0,0
Uele,4100,0,0,0,0,0,0,0,0,0
Uele,4200,0,0,0,0,0,0,0,0,0
Xspi,1000,3,0,0,0,0,0,0,0,0
Xspi,1100,25,0,0,1,0,0,0,0,0
Xspi,1200,11,0,0,0,0,0,0,0,0
Xspi,1300,13,0,0,22,0,0,0,0,0
Xspi,1400,8,0,0,1,0,0,0,0,0
Xspi,1500,10,0,0,9,0,0,0,0,0
Xspi,1600,2,1,0,0,0,0,1,0,0
Xspi,1700,1,0,0,4,0,0,0,0,0
Xspi,1800,0,0,0,0,0,0,0,0,0
Xspi,1900,0,0,0,0,0,0,0,0,0
Xspi,2000,0,0,3,0,0,0,0,0,0
Xspi,2100,0,0,0,0,0,0,0,0,0
Xspi,2200,0,0,0,0,0,0,0,0,0
Xspi,2300,0,0,0,0,0,0,0,0,0
Xspi,2400,0,0,0,0,0,0,0,0,0
Xspi,2500,0,0,0,0,0,0,0,0,0
Xspi,2600,0,0,0,8,0,0,0,0,0
Xspi,2700,0,0,0,0,0,0,0,0,0
Xspi,2800,0,0,0,0,0,0,0,0,0
Xspi,2900,0,0,0,0,0,0,0,0,0
Xspi,3000,0,0,0,0,0,0,0,0,0
Xspi,3100,0,0,0,0,0,0,0,0,0
Xspi,3200,0,0,0,0,0,0,0,0,0
Xspi,3300,0,0,0,0,0,0,0,0,0
Xspi,3400,0,0,0,0,0,0,0,0,0
Xspi,3500,0,0,0,0,0,0,0,0,0
Xspi,3600,0,0,0,0,0,0,0,0,0
Xspi,3700,0,0,0,0,0,0,0,0,0
Xspi,3800,0,0,0,0,0,0,0,0,0
Xspi,3900,0,0,0,0,0,0,0,0,0
Xspi,4000,0,0,0,0,0,0,0,0,0
Xspi,4100,0,0,0,0,0,0,0,0,0
Xspi,4200,0,0,0,0,0,0,0,0,0
TOTAL,1000,4,0,0,0,0,0,0,0,0
TOTAL,1100,61,0,0,1,0,0,0,0,0
TOTAL,1200,17,0,0,2,0,0,0,0,0
TOTAL,1300,74,0,0,32,0,0,33,0,0
TOTAL,1400,137,1,11,25,0,0,1,0,1
TOTAL,1500,91,43,1,62,14,0,4,4,10
TOTAL,1600,253,48,10,18,1,0,5,4,0
TOTAL,1700,110,23,2,45,0,8,4,8,20
TOTAL,1800,155,14,13,52,14,8,3,23,8
TOTAL,1900,185,7,4,68,7,4,8,61,1
TOTAL,2000,198,20,20,14,16,1,4,1,7
TOTAL,2100,130,48,59,77,61,25,10,69,5
TOTAL,2200,253,19,5,52,19,49,7,27,101
TOTAL,2300,242,136,12,115,13,10,42,21,288
TOTAL,2400,412,72,8,72,22,45,8,54,70
TOTAL,2500,330,143,23,38,9,2,22,7,220
TOTAL,2600,316,29,3,82,5,0,34,52,10
TOTAL,2700,334,73,4,48,33,0,87,71,28
TOTAL,2800,409,82,71,92,0,9,39,95,22
TOTAL,2900,215,6,1,34,6,0,50,34,24
TOTAL,3000,229,19,1,112,1,0,73,31,24
TOTAL,3100,179,17,10,9,4,0,28,56,13
TOTAL,3200,180,30,0,4,10,0,22,21,198
TOTAL,3300,105,59,6,9,2,5,4,163,55
TOTAL,3400,66,5,2,5,1,0,12,17,58
TOTAL,3500,97,3,0,6,0,20,0,1,147
TOTAL,3600,124,1,5,18,0,0,0,25,0
TOTAL,3700,11,0,0,6,0,0,1,6,0
TOTAL,3800,7,0,0,0,0,0,0,0,0
TOTAL,3900,3,0,0,0,0,0,2,0,0
TOTAL,4000,0,0,0,0,0,0,0,0,0
TOTAL,4100,1,0,0,0,0,0,0,0,0
TOTAL,4200,0,0,0,0,0,0,0,0,0
